cursor x,cursor y,ch1,ch2,ch3,ch4,ch5
1753,1278,184.5703125,130.37109375,51.26953125,58.59375,71.2890625
1766,1278,64.94140625,206.0546875,51.26953125,54.6875,58.59375
1766,1278,-100.5859375,64.94140625,52.24609375,-4.8828125,-2.9296875
1766,1278,8.7890625,25.390625,41.015625,-3.41796875,8.30078125
1766,1278,200.68359375,139.6484375,34.66796875,59.5703125,36.1328125
1766,1278,119.62890625,36.1328125,35.64453125,71.2890625,19.04296875
1766,1278,-92.7734375,-107.421875,39.55078125,7.32421875,7.8125
1766,1278,-43.45703125,-210.44921875,45.8984375,-17.08984375,10.7421875
1766,1278,162.59765625,-172.8515625,40.0390625,32.71484375,32.2265625
1766,1278,169.43359375,107.421875,32.71484375,63.4765625,49.8046875
1766,1278,-48.828125,55.6640625,36.1328125,23.4375,67.87109375
1766,1278,-86.9140625,-47.8515625,36.1328125,-22.94921875,112.79296875
1779,1272,101.5625,-58.59375,40.52734375,6.8359375,29.78515625
1779,1272,201.171875,45.41015625,48.828125,71.2890625,-12.20703125
1779,1272,25.390625,11.71875,42.96875,49.31640625,56.15234375
1779,1272,-102.5390625,-162.59765625,31.25,-9.27734375,83.49609375
1779,1272,52.734375,-54.6875,38.0859375,1.46484375,44.43359375
1779,1272,208.984375,80.078125,49.8046875,63.4765625,55.6640625
1779,1272,82.51953125,3.41796875,49.8046875,63.96484375,110.83984375
1779,1272,-110.83984375,-253.41796875,43.9453125,-5.37109375,56.640625
1779,1272,-1.953125,-77.1484375,38.57421875,-16.11328125,60.546875
1779,1272,216.796875,251.953125,39.55078125,49.31640625,83.984375
1779,1272,150.87890625,97.16796875,41.9921875,71.77734375,6.34765625
1779,1272,-79.1015625,-52.24609375,33.203125,15.625,-3.41796875
1801,1265,-48.33984375,15.625,25.390625,-9.765625,8.30078125
1801,1265,166.015625,143.5546875,37.109375,42.48046875,29.296875
1801,1265,179.19921875,36.1328125,47.8515625,74.70703125,-3.90625
1801,1265,-34.66796875,-65.4296875,45.41015625,30.2734375,0.9765625
1801,1265,-84.47265625,-1.953125,37.59765625,-11.71875,13.18359375
1801,1265,94.23828125,21.484375,34.66796875,21.484375,21.97265625
1801,1265,184.5703125,-49.8046875,41.015625,68.84765625,70.80078125
1801,1265,16.6015625,-174.31640625,43.45703125,48.33984375,41.9921875
1801,1265,-105.46875,-11.71875,44.921875,-6.34765625,-0.48828125
1801,1265,38.57421875,144.04296875,38.57421875,4.39453125,10.25390625
1801,1265,211.42578125,183.10546875,39.0625,68.359375,37.59765625
1801,1265,104.4921875,183.59375,41.015625,64.453125,73.73046875
1821,1262,-104.00390625,103.02734375,39.55078125,-1.46484375,61.5234375
1821,1262,-24.90234375,65.91796875,47.36328125,-7.32421875,25.390625
1821,1262,183.10546875,142.578125,46.38671875,49.31640625,60.546875
1821,1262,142.08984375,181.640625,41.50390625,70.80078125,59.08203125
1821,1262,-83.49609375,81.54296875,45.41015625,10.25390625,41.015625
1821,1262,-76.171875,-21.97265625,38.0859375,-19.04296875,44.43359375
1821,1262,123.53515625,-155.2734375,34.1796875,28.80859375,38.57421875
1821,1262,166.50390625,-25.87890625,37.59765625,61.5234375,42.96875
1821,1262,-20.01953125,201.171875,40.0390625,28.3203125,31.25
1824,1262,-95.703125,58.10546875,53.7109375,-18.06640625,-21.484375
1824,1262,68.84765625,87.40234375,53.22265625,-1.953125,-26.3671875
1824,1262,189.453125,294.43359375,45.41015625,57.6171875,49.8046875
1843,1261,34.1796875,207.51953125,49.31640625,55.17578125,23.92578125
1843,1261,-124.0234375,20.5078125,38.0859375,-11.23046875,25.87890625
1843,1261,7.8125,62.01171875,20.01953125,-18.5546875,58.10546875
1843,1261,194.3359375,200.68359375,25.390625,44.921875,9.765625
1843,1261,102.05078125,176.7578125,38.0859375,57.12890625,-10.25390625
1843,1261,-116.2109375,-93.75,49.31640625,3.41796875,51.26953125
1843,1261,-56.640625,-164.55078125,43.45703125,-23.92578125,8.30078125
1843,1260,161.1328125,112.3046875,31.73828125,24.90234375,-16.11328125
1846,1260,150.87890625,216.30859375,35.15625,68.359375,2.44140625
1846,1260,-60.546875,-28.80859375,24.4140625,20.99609375,34.1796875
1846,1260,-79.58984375,-76.171875,22.4609375,-27.34375,83.984375
1846,1260,115.234375,253.90625,45.8984375,-0.9765625,78.61328125
1876,1259,172.8515625,231.4453125,52.24609375,55.17578125,81.0546875
1876,1259,-20.01953125,48.828125,47.36328125,37.109375,47.36328125
1876,1259,-108.3984375,53.7109375,45.8984375,-19.04296875,42.48046875
1876,1259,59.08203125,140.13671875,43.9453125,1.46484375,41.9921875
1876,1259,199.70703125,149.90234375,41.50390625,61.03515625,26.3671875
1876,1259,59.5703125,22.94921875,39.55078125,56.15234375,65.91796875
1876,1259,-108.88671875,-123.53515625,34.66796875,1.46484375,48.828125
1876,1259,14.6484375,-31.73828125,29.296875,-2.9296875,23.4375
1876,1259,208.0078125,144.53125,34.66796875,58.10546875,79.58984375
1876,1259,109.86328125,-192.3828125,48.33984375,77.1484375,40.0390625
1876,1259,-103.02734375,-272.4609375,43.9453125,9.765625,-10.7421875
1876,1259,-30.2734375,45.41015625,37.59765625,-11.23046875,4.8828125
1894,1258,189.453125,109.86328125,41.9921875,55.6640625,39.0625
1894,1258,181.15234375,121.58203125,42.48046875,79.58984375,58.10546875
1894,1258,-42.48046875,104.98046875,37.109375,26.3671875,70.3125
1897,1258,-71.77734375,63.96484375,21.484375,-5.859375,48.828125
1897,1258,123.046875,85.9375,25.87890625,25.390625,43.9453125
1897,1258,197.75390625,79.1015625,48.33984375,75.1953125,58.59375
1897,1258,15.13671875,3.90625,50.29296875,50.78125,62.98828125
1897,1258,-88.37890625,28.3203125,41.50390625,-4.8828125,79.58984375
1897,1258,55.17578125,-44.921875,45.8984375,14.16015625,64.453125
1897,1258,197.75390625,-46.38671875,54.6875,66.40625,42.48046875
1897,1258,77.1484375,169.43359375,52.734375,68.84765625,52.24609375
1897,1258,-111.328125,89.84375,53.22265625,5.859375,86.9140625
1923,1258,-7.8125,7.8125,56.640625,-5.37109375,87.890625
1923,1258,196.2890625,108.3984375,52.734375,58.10546875,43.9453125
1923,1258,125.9765625,145.5078125,43.9453125,73.73046875,42.48046875
1923,1258,-101.5625,-23.92578125,44.921875,18.06640625,63.4765625
1923,1258,-65.4296875,-168.45703125,51.26953125,-7.32421875,61.03515625
1923,1258,150.390625,-114.2578125,39.55078125,42.48046875,14.16015625
1923,1258,170.8984375,-31.73828125,32.2265625,87.890625,37.109375
1923,1258,-44.921875,-101.07421875,44.43359375,41.9921875,48.828125
1923,1258,-107.91015625,-319.3359375,49.8046875,-20.01953125,-9.27734375
1923,1258,78.61328125,-111.81640625,47.8515625,3.41796875,-16.6015625
1923,1258,181.15234375,204.58984375,40.52734375,65.91796875,20.99609375
1923,1258,3.90625,33.69140625,36.1328125,48.33984375,-6.34765625
1943,1257,-125.9765625,-86.42578125,35.15625,-12.20703125,-38.0859375
1943,1257,36.62109375,56.15234375,43.9453125,-1.953125,-16.6015625
1943,1257,210.9375,124.0234375,55.17578125,66.89453125,-17.578125
1943,1257,71.2890625,11.71875,55.6640625,66.40625,24.4140625
1943,1257,-134.765625,-78.61328125,48.33984375,-8.7890625,28.80859375
1943,1257,-35.15625,-29.78515625,39.0625,-22.94921875,5.37109375
1943,1257,180.17578125,134.27734375,36.62109375,33.69140625,26.85546875
1943,1257,129.8828125,56.15234375,39.55078125,58.10546875,34.1796875
1943,1257,-92.28515625,-129.8828125,49.8046875,11.71875,44.921875
1943,1257,-51.7578125,103.02734375,30.2734375,-12.6953125,32.71484375
1943,1257,153.80859375,239.2578125,2.44140625,31.73828125,25.390625
1943,1257,172.36328125,209.9609375,28.3203125,62.98828125,44.921875
1967,1255,-26.3671875,113.28125,58.59375,26.85546875,12.6953125
1967,1255,-94.7265625,92.28515625,58.10546875,-22.94921875,7.32421875
1967,1255,77.63671875,119.62890625,52.734375,-2.44140625,9.765625
1967,1255,200.1953125,167.48046875,49.8046875,57.12890625,42.48046875
1967,1255,37.109375,116.69921875,40.0390625,46.38671875,70.80078125
1967,1255,-120.60546875,-40.52734375,33.69140625,-5.859375,46.38671875
1971,1255,12.20703125,-1.46484375,43.45703125,-3.90625,52.734375
1971,1255,185.546875,-80.078125,48.33984375,49.8046875,53.7109375
1971,1255,95.21484375,-51.7578125,46.875,51.26953125,26.85546875
1971,1255,-102.05078125,129.8828125,47.36328125,-15.625,-3.41796875
1971,1255,-40.52734375,109.375,40.0390625,-20.01953125,24.4140625
1971,1255,174.8046875,175.29296875,36.1328125,43.9453125,22.94921875
1982,1254,154.78515625,281.73828125,33.69140625,73.2421875,46.875
1986,1253,-71.77734375,192.3828125,26.85546875,14.16015625,87.890625
1986,1253,-83.984375,52.734375,23.92578125,-27.34375,66.40625
1986,1253,116.69921875,121.09375,31.25,15.13671875,41.50390625
1986,1253,168.9453125,251.953125,43.9453125,51.7578125,78.61328125
1986,1253,-26.85546875,87.890625,50.78125,25.390625,84.9609375
1986,1253,-120.60546875,-147.94921875,46.875,-26.85546875,107.421875
1986,1253,43.9453125,-182.12890625,47.36328125,-13.18359375,80.078125
1986,1253,195.80078125,150.87890625,35.15625,47.8515625,33.69140625
1986,1253,47.8515625,266.6015625,16.6015625,49.31640625,58.59375
1986,1253,-131.8359375,78.125,21.97265625,-13.18359375,52.24609375
1986,1253,-0.9765625,97.65625,37.109375,-24.90234375,18.5546875
2005,1250,190.91796875,240.234375,40.0390625,37.59765625,10.7421875
2005,1250,92.7734375,190.91796875,35.15625,48.828125,28.3203125
2005,1250,-109.375,21.97265625,36.62109375,-7.32421875,44.921875
2005,1250,-41.015625,41.50390625,30.2734375,-25.390625,5.859375
2005,1250,148.92578125,175.78125,26.3671875,13.671875,-13.671875
2005,1250,112.79296875,128.90625,35.64453125,37.59765625,38.0859375
2005,1250,-111.81640625,-152.34375,43.45703125,-6.34765625,63.4765625
2005,1250,-116.2109375,-91.30859375,42.96875,-35.15625,15.13671875
2005,1250,97.65625,278.80859375,36.62109375,-1.46484375,67.87109375
2005,1250,166.50390625,217.28515625,41.9921875,45.8984375,94.7265625
2005,1250,-14.6484375,-12.20703125,45.41015625,33.203125,-10.25390625
2005,1250,-109.86328125,99.609375,46.875,-16.11328125,26.3671875
