cursor x,cursor y,ch1,ch2,ch3,ch4,ch5
2063,75,20.01953125,65.4296875,56.640625,4.39453125,-200.68359375
2054,75,87.40234375,63.96484375,38.57421875,81.0546875,-142.578125
2054,75,63.96484375,56.15234375,41.015625,98.6328125,-125.9765625
2054,75,-11.71875,50.78125,64.94140625,20.01953125,-183.10546875
2054,75,12.6953125,56.640625,64.94140625,-4.8828125,-206.0546875
2054,75,97.65625,57.6171875,54.19921875,62.98828125,-156.73828125
2054,75,72.75390625,60.05859375,42.96875,87.40234375,-107.421875
2054,75,7.8125,55.17578125,44.921875,38.57421875,-175.78125
2054,75,6.34765625,56.640625,53.22265625,-7.8125,-238.76953125
2054,75,62.01171875,65.91796875,65.4296875,30.2734375,-170.8984375
2054,75,97.16796875,64.94140625,72.265625,90.33203125,-118.1640625
2054,75,25.87890625,63.4765625,80.078125,56.15234375,-137.20703125
2054,75,-12.20703125,59.5703125,72.265625,-5.37109375,-167.48046875
2054,75,57.12890625,62.98828125,60.05859375,26.85546875,-146.97265625
2054,75,97.65625,59.08203125,57.12890625,92.28515625,-95.703125
2054,75,35.64453125,48.828125,62.98828125,65.4296875,-92.28515625
2054,75,-24.90234375,44.43359375,68.359375,-12.6953125,-174.31640625
2054,75,20.01953125,36.62109375,65.4296875,-6.34765625,-175.78125
2054,75,94.7265625,33.203125,59.08203125,68.359375,-119.62890625
2054,75,73.73046875,52.24609375,70.3125,80.078125,-126.953125
2054,75,-24.4140625,70.80078125,42.96875,-7.8125,-172.8515625
2054,75,-4.8828125,43.9453125,29.296875,-31.73828125,-205.56640625
2054,75,73.73046875,27.83203125,56.15234375,39.55078125,-161.1328125
2051,75,59.08203125,51.26953125,54.19921875,73.73046875,-104.4921875
2041,75,-7.8125,65.91796875,55.6640625,11.23046875,-134.765625
2041,75,2.44140625,72.265625,51.7578125,-20.01953125,-195.80078125
2041,75,60.05859375,76.66015625,41.50390625,22.4609375,-178.7109375
2041,75,75.68359375,69.3359375,53.22265625,66.40625,-90.33203125
2041,75,22.94921875,57.6171875,52.24609375,44.43359375,-97.16796875
2040,75,-8.7890625,47.36328125,40.0390625,-18.5546875,-178.22265625
2040,75,54.19921875,36.1328125,42.96875,9.27734375,-179.6875
2040,75,89.84375,43.45703125,41.015625,63.4765625,-139.6484375
