cursor x,cursor y,ch1,ch2,ch3,ch4,ch5
1199,930,75.1953125,92.28515625,48.33984375,-7.8125,58.10546875
1201,930,22.4609375,87.40234375,49.8046875,3.90625,57.12890625
1201,930,18.06640625,78.61328125,49.8046875,13.671875,-16.6015625
1201,930,59.5703125,81.0546875,54.19921875,-3.41796875,-0.48828125
1201,930,83.49609375,78.61328125,59.08203125,8.7890625,13.671875
1201,930,36.1328125,64.94140625,60.05859375,41.9921875,6.34765625
1201,930,-0.48828125,52.734375,55.6640625,23.4375,19.04296875
1201,930,54.19921875,60.546875,52.24609375,20.01953125,20.5078125
1201,930,111.81640625,58.59375,54.6875,39.0625,38.57421875
1201,930,69.82421875,35.64453125,58.59375,42.96875,101.07421875
1201,930,8.7890625,13.18359375,52.24609375,36.62109375,98.14453125
1201,930,36.1328125,10.25390625,42.48046875,29.296875,23.4375
1203,943,97.65625,20.5078125,47.36328125,31.25,21.484375
1204,946,69.82421875,-1.953125,49.31640625,37.59765625,15.13671875
1204,946,-4.8828125,-10.7421875,55.17578125,17.08984375,20.5078125
1204,946,17.578125,5.37109375,64.453125,9.27734375,59.5703125
1204,946,84.9609375,-0.48828125,64.453125,42.48046875,42.96875
1204,946,69.3359375,-24.4140625,64.94140625,36.62109375,45.41015625
1204,946,-7.32421875,-14.6484375,69.3359375,8.30078125,45.41015625
1204,946,-13.18359375,22.94921875,67.3828125,-7.8125,71.77734375
1204,946,33.69140625,27.34375,71.77734375,-8.30078125,72.75390625
1204,946,62.01171875,18.5546875,80.078125,-1.953125,21.484375
1204,946,21.484375,21.97265625,77.63671875,-0.48828125,-38.57421875
1204,946,-15.13671875,32.2265625,67.87109375,-10.7421875,-4.8828125
1212,977,17.578125,22.94921875,62.5,-17.578125,61.5234375
1212,977,62.5,14.16015625,62.5,-6.34765625,49.31640625
1212,977,36.1328125,16.6015625,64.453125,0.48828125,15.13671875
1212,977,-23.4375,3.41796875,64.453125,-8.30078125,14.6484375
1212,977,-0.48828125,-20.99609375,62.5,-14.16015625,35.15625
1212,980,64.94140625,-26.3671875,65.91796875,-3.90625,6.8359375
1213,980,58.10546875,-10.25390625,73.2421875,12.20703125,44.921875
1213,980,-11.71875,0.0,76.66015625,13.18359375,69.82421875
1213,980,-12.6953125,-13.18359375,74.21875,0.0,59.08203125
1213,980,38.0859375,-22.4609375,67.87109375,0.48828125,84.9609375
1213,980,50.78125,-13.671875,51.26953125,1.953125,45.8984375
1213,980,-2.9296875,-29.78515625,47.8515625,9.27734375,-9.765625
1216,997,-29.296875,-46.875,55.17578125,15.625,-15.625
1216,997,19.04296875,-39.55078125,62.98828125,4.8828125,-32.2265625
1216,997,56.15234375,-34.1796875,74.21875,10.25390625,-17.578125
1216,997,12.6953125,-48.828125,72.75390625,13.671875,-22.94921875
1216,997,-33.69140625,-58.59375,67.3828125,2.9296875,-67.87109375
1216,997,5.37109375,-54.6875,64.453125,-6.34765625,-21.97265625
1216,997,73.2421875,-43.9453125,63.4765625,8.30078125,39.0625
1216,997,57.12890625,-43.45703125,65.4296875,22.94921875,27.34375
1216,997,-9.27734375,-59.5703125,57.12890625,17.578125,97.16796875
1216,997,9.27734375,-56.15234375,52.24609375,13.18359375,119.62890625
1216,997,74.21875,-40.0390625,54.19921875,7.32421875,31.73828125
1216,997,63.96484375,-40.0390625,53.7109375,11.71875,52.734375
1217,1010,-8.30078125,-61.5234375,46.875,10.7421875,30.76171875
1217,1010,-11.23046875,-66.40625,38.0859375,-9.27734375,34.66796875
1217,1010,47.36328125,-57.6171875,46.875,-15.13671875,62.01171875
1217,1013,50.78125,-70.80078125,57.12890625,-1.46484375,62.5
1217,1013,-6.34765625,-77.63671875,63.4765625,11.23046875,52.734375
1217,1015,-32.2265625,-71.2890625,59.08203125,1.46484375,8.7890625
1217,1015,13.671875,-64.94140625,54.6875,-4.39453125,27.83203125
1217,1015,60.546875,-67.87109375,68.84765625,7.32421875,33.203125
1217,1015,7.8125,-87.40234375,71.2890625,16.11328125,34.66796875
1217,1015,-45.41015625,-74.70703125,61.5234375,2.9296875,65.91796875
1217,1015,-8.7890625,-56.15234375,65.91796875,0.48828125,57.6171875
1217,1015,44.43359375,-73.2421875,72.265625,18.06640625,40.52734375
1217,1033,27.83203125,-90.33203125,69.3359375,21.97265625,4.39453125
1217,1037,-38.57421875,-86.42578125,67.3828125,15.13671875,-3.90625
1217,1037,-16.11328125,-74.70703125,81.0546875,13.18359375,68.84765625
1217,1037,53.7109375,-72.75390625,75.68359375,14.16015625,64.94140625
1217,1037,43.45703125,-68.359375,50.78125,15.625,53.22265625
1217,1037,-21.97265625,-79.58984375,54.19921875,11.71875,6.8359375
1217,1037,-25.390625,-68.84765625,65.4296875,6.34765625,-15.625
1217,1037,11.71875,-69.3359375,65.4296875,4.39453125,19.53125
1217,1037,30.76171875,-72.265625,53.22265625,4.8828125,-4.39453125
1217,1037,0.0,-40.0390625,48.828125,9.27734375,-37.59765625
1217,1037,-30.2734375,-35.15625,56.640625,3.90625,5.859375
1217,1037,9.27734375,-45.41015625,63.4765625,1.46484375,34.1796875
1217,1066,57.6171875,-48.33984375,63.4765625,-6.34765625,-28.80859375
1217,1066,15.13671875,-46.38671875,56.640625,2.9296875,-31.73828125
1217,1066,-42.96875,-53.22265625,50.78125,8.30078125,9.27734375
1217,1066,-10.7421875,-55.6640625,48.33984375,-9.27734375,51.7578125
1218,1078,56.15234375,-53.7109375,47.36328125,0.0,43.45703125
1218,1078,41.9921875,-63.96484375,47.36328125,11.71875,36.1328125
1218,1078,-34.1796875,-77.63671875,48.828125,5.37109375,-8.7890625
1218,1078,-26.85546875,-79.58984375,52.24609375,-6.34765625,-6.8359375
1218,1078,45.8984375,-60.546875,49.8046875,4.8828125,37.59765625
1218,1078,60.05859375,-65.4296875,49.8046875,19.04296875,40.52734375
1218,1078,-9.765625,-97.16796875,55.6640625,16.11328125,41.015625
1218,1078,-31.25,-99.609375,50.29296875,-13.18359375,29.296875
1220,1106,31.25,-85.9375,45.8984375,-6.34765625,5.859375
1220,1106,63.4765625,-93.26171875,50.29296875,25.390625,12.20703125
1220,1106,3.41796875,-115.72265625,49.31640625,16.6015625,5.859375
1220,1106,-43.45703125,-123.53515625,51.7578125,6.8359375,-36.1328125
1220,1106,3.90625,-119.140625,43.9453125,-0.48828125,12.6953125
1220,1106,67.3828125,-132.32421875,32.71484375,12.20703125,-5.37109375
1221,1110,28.3203125,-154.78515625,40.0390625,19.53125,-2.44140625
1221,1110,-35.64453125,-161.1328125,53.22265625,9.765625,37.59765625
1221,1110,-1.46484375,-149.90234375,54.19921875,8.30078125,18.5546875
1221,1110,60.05859375,-165.0390625,46.875,15.13671875,35.15625
1221,1110,41.9921875,-180.6640625,44.921875,20.01953125,33.203125
1221,1110,-27.34375,-183.10546875,49.8046875,16.11328125,34.1796875
1226,1145,-17.08984375,-181.15234375,52.734375,10.7421875,50.29296875
1226,1145,48.828125,-176.26953125,49.31640625,13.18359375,42.48046875
1226,1145,61.03515625,-169.921875,41.9921875,20.5078125,59.5703125
1226,1145,-3.90625,-161.62109375,32.2265625,23.92578125,72.75390625
1226,1145,-24.4140625,-167.96875,37.109375,17.08984375,41.9921875
1226,1145,20.99609375,-182.6171875,49.31640625,-2.44140625,-22.4609375
1226,1145,43.45703125,-183.59375,47.8515625,2.44140625,79.1015625
1226,1145,3.41796875,-166.50390625,43.9453125,22.94921875,64.94140625
1226,1145,-42.48046875,-155.76171875,39.0625,9.27734375,17.08984375
1226,1145,-15.13671875,-161.62109375,40.0390625,-0.48828125,74.70703125
1226,1145,42.48046875,-157.2265625,30.76171875,6.8359375,34.1796875
1226,1145,16.6015625,-149.90234375,25.87890625,22.4609375,20.01953125
1234,1175,-48.828125,-159.1796875,39.55078125,30.2734375,-17.08984375
1234,1175,-16.11328125,-160.15625,50.78125,36.1328125,13.671875
1234,1175,46.875,-158.69140625,51.26953125,27.34375,62.98828125
1234,1175,40.52734375,-171.38671875,45.41015625,16.6015625,88.37890625
1234,1175,-17.08984375,-182.6171875,44.921875,6.8359375,71.77734375
1235,1177,-20.99609375,-200.68359375,47.36328125,17.08984375,11.23046875
1235,1177,40.52734375,-199.21875,50.29296875,41.015625,27.83203125
1235,1177,69.82421875,-168.45703125,55.6640625,46.38671875,65.91796875
1235,1177,15.625,-183.59375,56.640625,42.96875,43.45703125
1235,1177,-15.13671875,-214.35546875,52.24609375,37.109375,11.23046875
1235,1177,33.203125,-229.4921875,50.29296875,25.390625,7.32421875
1235,1177,80.078125,-240.72265625,52.734375,22.94921875,10.25390625
1246,1209,35.15625,-254.39453125,54.6875,35.15625,44.921875
1246,1209,-24.4140625,-273.4375,49.8046875,32.2265625,26.3671875
1246,1209,8.30078125,-269.53125,50.29296875,21.484375,-17.578125
1246,1209,65.4296875,-250.9765625,55.6640625,27.34375,0.48828125
1246,1209,43.45703125,-253.90625,46.875,33.69140625,31.25
1246,1209,-11.71875,-271.97265625,45.8984375,44.43359375,110.3515625
1246,1209,12.6953125,-263.18359375,50.29296875,48.828125,96.19140625
1246,1209,60.05859375,-228.515625,50.29296875,41.015625,36.62109375
1246,1209,46.38671875,-215.8203125,48.828125,36.62109375,24.90234375
1246,1209,-27.83203125,-232.421875,56.15234375,24.4140625,19.04296875
1246,1209,-31.25,-210.9375,60.546875,8.7890625,3.90625
1246,1209,41.9921875,-191.40625,44.43359375,11.71875,4.39453125
1250,1221,63.4765625,-201.171875,41.50390625,20.5078125,70.3125
1251,1223,4.8828125,-196.77734375,50.29296875,17.578125,62.5
1251,1223,-21.97265625,-192.87109375,54.19921875,16.6015625,8.30078125
1251,1223,25.390625,-194.3359375,54.19921875,19.53125,-46.875
1251,1223,72.265625,-194.82421875,49.31640625,31.73828125,-8.30078125
1251,1223,28.3203125,-189.453125,44.43359375,36.62109375,72.75390625
1251,1223,-41.50390625,-179.19921875,47.8515625,-0.48828125,34.66796875
1251,1223,-10.25390625,-160.15625,52.734375,-3.90625,41.9921875
1251,1223,61.5234375,-145.99609375,51.26953125,26.85546875,51.7578125
1251,1223,46.38671875,-127.9296875,48.828125,24.4140625,54.19921875
1251,1223,-20.01953125,-116.69921875,51.26953125,20.5078125,45.41015625
1251,1223,-9.765625,-114.2578125,54.6875,20.99609375,1.46484375
1258,1237,47.8515625,-118.1640625,53.22265625,19.53125,33.69140625
1258,1237,54.6875,-97.16796875,46.38671875,22.4609375,31.73828125
1258,1237,-5.859375,-65.4296875,43.45703125,20.5078125,31.25
1258,1239,-25.390625,-62.98828125,48.828125,11.71875,64.94140625
1258,1239,23.4375,-59.5703125,50.78125,3.90625,22.4609375
1258,1239,46.875,-55.17578125,50.29296875,6.34765625,18.5546875
1258,1239,-1.953125,-59.5703125,50.29296875,15.13671875,38.0859375
1258,1239,-40.0390625,-70.80078125,53.7109375,13.671875,-12.6953125
1258,1239,-7.32421875,-59.5703125,47.8515625,3.90625,41.50390625
1258,1239,47.8515625,-22.4609375,33.69140625,-5.37109375,67.87109375
1258,1239,28.3203125,-9.27734375,38.57421875,9.27734375,63.4765625
1258,1239,-33.203125,-9.765625,48.33984375,22.4609375,88.37890625
1260,1245,-13.18359375,8.7890625,50.78125,14.6484375,96.6796875
1260,1245,51.7578125,28.80859375,51.7578125,23.92578125,80.56640625
1260,1245,39.55078125,18.5546875,55.17578125,22.94921875,38.57421875
1260,1246,-31.25,23.4375,57.12890625,13.671875,57.12890625
1260,1246,-21.97265625,30.2734375,55.17578125,10.25390625,7.8125
1260,1246,49.8046875,30.76171875,52.24609375,14.16015625,-41.9921875
1260,1246,67.87109375,48.33984375,50.29296875,20.01953125,-2.9296875
1260,1246,2.9296875,37.59765625,51.26953125,19.04296875,55.6640625
1260,1246,-19.53125,30.76171875,46.875,11.71875,56.640625
1260,1246,37.59765625,61.03515625,42.96875,7.8125,31.25
1260,1246,83.984375,67.3828125,38.57421875,26.3671875,36.62109375
1260,1246,52.734375,65.4296875,41.9921875,41.9921875,-15.625
1260,1249,-13.18359375,66.40625,57.12890625,26.85546875,14.6484375
1260,1249,15.625,75.1953125,56.640625,15.625,40.0390625
1260,1249,80.56640625,83.49609375,47.36328125,32.71484375,64.94140625
1260,1249,56.640625,76.171875,44.921875,39.55078125,41.50390625
1260,1249,-4.8828125,80.56640625,41.015625,22.4609375,-1.46484375
1260,1249,18.06640625,87.40234375,37.109375,22.4609375,44.921875
1260,1249,85.9375,83.49609375,36.62109375,32.71484375,64.94140625
1260,1249,76.171875,73.73046875,36.62109375,37.59765625,44.43359375
1260,1249,8.30078125,85.44921875,32.71484375,32.2265625,76.66015625
1260,1249,7.8125,91.796875,24.90234375,24.4140625,83.0078125
1260,1249,61.5234375,81.54296875,19.04296875,21.484375,29.296875
1260,1249,85.44921875,88.37890625,27.83203125,33.69140625,-13.671875
1260,1251,30.2734375,97.16796875,41.9921875,21.97265625,6.34765625
1260,1251,-3.41796875,92.28515625,43.9453125,18.06640625,38.0859375
1260,1251,38.57421875,77.1484375,37.59765625,35.15625,2.44140625
1260,1251,86.9140625,76.171875,40.0390625,39.0625,12.20703125
1260,1251,51.26953125,82.51953125,48.33984375,44.43359375,34.66796875
1260,1251,-11.23046875,70.80078125,50.78125,34.66796875,4.8828125
1260,1251,18.5546875,52.734375,47.36328125,18.06640625,32.71484375
1260,1251,75.1953125,52.24609375,41.9921875,18.06640625,43.9453125
